Region,Date,Village/local area,X,Y,District,Province,Type of attack,Reportedly drone?,MinTotal,MaxTotal,MinCivilians,MaxCivilians,MinChildren,MaxChildren,MinInj,MaxInj,Strike link
Baghlan,22/02/2016,Dand e Ghori,340,100,Pul-e-Khumri,Baghlan,US strike,1,0,0,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#172
Farah,4/11/16,Diwal-i-Surkh,200,190,Khak e Safid,Farah,US strike,1,5,5,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#290
Farah,10/9/16,Qarya e Surkh,200,190,Khak e Safid,Farah,US strike,1,4,4,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#265
Farah,17/10/2016,Unknown ,200,190,Farah and Bakwah ,Farah ,US strike ,0,70,70,0,0,0,0,30,30,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#281
Ghazni,3/7/16,Unknown,310,170,Ab Band,Ghazni,US strike,1,12,12,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#230
Ghazni,13/03/2017,Raasni,310,170,Gilan,Ghazni,US strike,1,3,3,0,0,0,0,0,0,
Ghazni,15/12/2015,Sher Khan village,310,170,Deh Yak,Ghazni,US air and Afghan ground operation,0,9,9,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#134
Ghazni,18/05/2016,Mohammd Ghous,310,170,Ab Band,Ghazni,US strike,1,1,1,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#201
Ghazni,19/02/2017,Unknown,310,170,Nawa,Ghazni,US strike ,1,1,1,0,0,0,0,2,2,https://www.thebureauinvestigates.com/2017/01/11/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2017/322
Hilmand,1/9/15,Unknown,230,220,Musa Qala,Helmand,US strike,0,0,0,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#83
Hilmand,6/9/15,Unknown,230,220,Garamser,Helmand,US strike,1,11,31,0,0,0,0,4,4,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#74
Hilmand,8/2/15,Azankarez,230,220,Kajak,Helmand,US strike,1,6,8,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#1
Hilmand,1/8/16,Zarghoon village,230,220,Nad Ali,Helmand,US strike,1,2,2,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#253
Hilmand,3/10/16,Unknown ,230,220,Nawa-i-Barakzayi,Helmand,"US air operation with use of drone, F16 jets and Apache helicopter",1,12,12,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#280
Hilmand,6/1/16,Unknown,230,220,Majah,Helmand,US strike,0,0,0,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#141
Hilmand,7/5/16,Unknown,230,220,Khanashin,Helmand,US strike,1,0,1,0,0,0,0,2,3,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#196
Hilmand,8/2/16,Unknown,230,220,Nad Ali and Greshk,Helmand,US strike,1,15,15,0,0,0,0,10,10,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#170
Hilmand,11/8/16,Unknown,230,220,Hilmand,Helmand,US strike,1,0,0,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#254
Hilmand,6/2/17,Kharko area,230,220,Garamser ,Helmand,US strike ,0,6,6,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2017/01/11/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2017/317
Hilmand,10/2/17,Unknown,230,220,Sangin,Helmand,US strike ,0,18,68,18,18,0,8,0,19,https://www.thebureauinvestigates.com/2017/01/11/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2017/320
Hilmand,11/2/17,Unknown,230,220,Sangin,Helmand,US strike ,0,-,-,-,-,-,-,-,-,https://www.thebureauinvestigates.com/2017/01/11/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2017/321
Hilmand,13/12/2015,Unknown,230,220,"Marja, Sangin and Babaji",Helmand,US strike with US and Afghan ground operation,0,0,0,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#119
Hilmand,15/01/2017,Unknown,230,220,Musa Qala,Helmand,US strike ,0,15,15,0,0,0,0,10,10,https://www.thebureauinvestigates.com/2017/01/11/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2017/308
Hilmand,15/07/2016,Reg Shahidan,230,220,"Maiwand",Helmand,US strike,1,30,30,0,0,0,0,2,2,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#242
Hilmand,19/07/2016,Sangin,230,220,Sangin,Helmand,US strike,0,0,0,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#245
Hilmand,23/02/2017,Umomi Bagh,230,220,Garamser,Helmand,US strike ,0,11,11,0,0,0,0,0,0,
Hilmand,23/08/2015,Unknown,230,220,Musa Qala,Helmand,US strike,0,40,40,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#70
Hilmand,23/12/2015,Sangin,230,220,Sangin,Helmand,US strike,1,0,0,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#137
Hilmand,25/08/2016,Unknown,230,220,Nad Ali,Helmand,US strike,1,24,32,0,8,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#258
Hilmand,27/08/2015,Unknown,230,220,Musa Qala,Helmand,US strike,0,0,0,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#175
Hilmand,30/08/2015,Unknown,230,220,Musa Qala,Helmand,US strike,0,0,0,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#73
Hilmand,31/01/2017,Unknown,230,220,Sangin ,Helmand,US strike,0,0,0,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2017/01/11/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2017/312
Hilmand,31/08/2015,Unknown,230,220,Nahr e Saraj,Helmand,US strike,0,2,2,2,2,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#133
Kandahar,6/9/15,Unknown,270,220,Maiwand,Kandahar,US strike,0,0,0,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#75
Kandahar,11/10/15,Unknown,270,220,Shurabak,Kandahar,US strike,0,100,200,0,0,0,0,50,50,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#97
Kandahar,8/1/16,Unknown,270,220,Kharkhez,Kandahar,US strike,0,0,0,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#143
Kandahar,26/05/2016,Elbak,270,220,Kandahar,Kandahar,US strike,1,7,7,0,0,0,0,2,2,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#220
Kandahar,29/05/2016,Kata Sang,270,220,Shaha Wali Kot,Kandahar,US strike,1,17,22,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#209
Khost,1/1/15,Unknown,350,170,Spera,Khost,US strike,0,0,0,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#77
Khost,2/3/15,Unknown,350,170,Alishir,Khost,US strike,1,1,1,0,1,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#80
Khost,3/1/15,Unknown,350,170,Spera,Khost,US strike,0,7,7,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#4
Khost,5/6/15,Ali Shir,350,170,Tere Zayi,Khost,US strike,1,14,14,14,14,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#29
Khost,2/9/16,Keen Kalai,350,170,Spera,Khost,US strike,0,7,7,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#264
Khost,2/2/17,Unknown,350,170,Khost,Khost ,US strike ,1,5,6,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2017/01/11/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2017/314
Khost,10/1/17,Aziz Kala,350,170,Sabri,Khost,US strike,1,4,4,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2017/01/11/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2017/306
Khost,18/11/2015,Unknown,350,170,Babrak Thana,Khost,US strike,1,21,50,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#113
Khost,25/11/2015,"Gagi Mountain, Ali Shir",350,170,Tere Zayi,Khost,US strike,1,10,16,0,0,0,0,20,20,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#116
Kunar,3/6/15,Shogam area,375,130,Shigal,Kunar,US strike,1,3,6,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#25
Kunar,3/12/15,Nakora,375,130,Chapa Dara,Kunar,US strike,1,3,3,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#117
Kunar,4/7/15,Unknown,375,130,Chappa Dara,Kunar,US strike,1,1,1,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#45
Kunar,6/1/15,Unknown,375,130,Dara I Pech,Kunar,US strike,0,0,0,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#120
Kunar,7/5/15,Unknown,375,130,Khas Khar,Kunar,US strike,1,6,7,0,1,0,1,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#17
Kunar,7/6/15,Unknown,375,130,Chapa Dara,Kunar,US strike,1,1,1,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#30
Kunar,8/9/15,Unknown,375,130,Ghazi Abad,Kunar,US strike,1,2,2,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#76
Kunar,10/2/15,Unknown,375,130,Khas Kunar,Kunar,US strike,1,2,2,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#8
Kunar,10/8/15,Shonkorok Valley,375,130,Shegal,Kunar,US strike,1,3,3,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#67
Kunar,11/3/15,Unknown,375,130,Sarakani,Kunar,US strike,0,0,0,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#124
