Region,Date,Location,X,Y,Area,MinTotal,MaxTotal,MinCivilians,MaxCivilians,MinChildren,MaxChildren,MinInj,MaxInj,link,Notes
Bajaur Agency,13/01/2006,Damadola,343,75,Bajaur Agency,13,22,10,18,5,6,0,0,http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/#B5,
Bajaur Agency,14/05/2008,Damadola,343,75,Bajaur Agency,12,20,4,6,1,4,9,9,http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/#B15,
Bajaur Agency,24/10/2009,Damadola,343,75,Bajaur Agency,20,30,0,0,0,0,8,8,http://www.thebureauinvestigates.com/2011/08/10/obama-2009-strikes/#Ob42,
Bajaur Agency,30/10/2006,Chenegai,343,75,Bajaur Agency,81,83,80,82,68,70,3,3,http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/#B6,
Nushki,21/05/2016,Ahmad Wal,255,170,Balochistan,2,2,1,1,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/11/obama-2016-pakistan-drone-strikes/#Ob373,"Unclear where actual region is, had to manually figure it out."
FR Bannu,3/12/07,Jani Khel,330,105,Bannu Frontier Region,0,0,0,0,0,0,1,1,http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/#B11,
FR Bannu,15/03/2009,Jani Khel,330,105,Bannu Frontier Region,2,6,0,0,0,0,3,3,http://www.thebureauinvestigates.com/2011/08/10/obama-2009-strikes/#Ob7,
FR Bannu,19/11/2008,Jani Khel,330,105,Bannu Frontier Region,3,6,0,3,0,0,7,7,http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/#B41,
Khyber Agency,11/10/14,Tirah Valley,337,88,Khyber Agency,4,6,0,0,0,0,2,2,http://www.thebureauinvestigates.com/2014/06/11/obama-2014-pakistan-drone-strikes/#Ob348,
Khyber Agency,15/05/2010,Khyber,337,88,Khyber Agency,5,15,0,2,0,0,15,15,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob93,
Khyber Agency,16/12/2010,Tirah Valley,337,88,Khyber Agency,7,7,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob171,
Khyber Agency,17/12/2010,Nakai,337,88,Khyber Agency,11,15,0,0,0,0,2,2,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob173,
Khyber Agency,17/12/2010,Sandana,337,88,Khyber Agency,7,15,0,0,0,0,7,11,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob172,
Khyber Agency,17/12/2010,Speen Drang,337,88,Khyber Agency,32,32,2,2,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob174,
Hangu,21/11/2013,"Tal, Hangu District",333,99,Khyber Pakhtunkhwa province,6,9,0,0,0,0,1,9,http://www.thebureauinvestigates.com/2013/01/03/obama-2013-pakistan-drone-strikes/#Ob330,
Kurram Agency,12/3/09,Barjo,326,94,Kurram Agency,14,26,0,0,0,0,9,50,http://www.thebureauinvestigates.com/2011/08/10/obama-2009-strikes/#Ob6,
Kurram Agency,2/3/17,Unknown,326,94,Kurram Agency,2,2,0,0,0,0,0,0,,
Kurram Agency,16/02/2009,Sur Pul,326,94,Kurram Agency,18,31,0,0,0,0,3,7,http://www.thebureauinvestigates.com/2011/08/10/obama-2009-strikes/#Ob4,
Kurram Agency,18/03/2015,Shabak,326,94,Kurram Agency,3,3,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/01/05/obama-2015-pakistan-drone-strikes/#Ob363,
Kurram Agency,20/06/2011,Khardand,326,94,Kurram Agency,5,7,2,7,0,0,0,3,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob222,
Kurram Agency,20/06/2011,Zarakai,326,94,Kurram Agency,2,5,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob223,
Kurram Agency,22/02/2016,"Shahidano Dhand, Lower Kurram",326,94,Kurram Agency,4,5,0,0,0,0,1,4,https://www.thebureauinvestigates.com/2016/01/11/obama-2016-pakistan-drone-strikes/#Ob372,https://www.thebureauinvestigates.com/2016/01/11/obama-2016-pakistan-drone-strikes/#
