Region,Date,Location,X,Y,"Confirmed/possible US strike",Drone strike,Strike type,Minimum strikes,Maximum strikes,MinTotal,MaxTotal,MinCivilians,MaxCivilians,MinChildren,MaxChildren,MinInj,MaxInj,Strike link,
Banaadir,21/01/2012,Elasha Biyaha,295,204,Confirmed,1,Air operation - drone strike,1,1,1,1,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM014,
Jubbada Hoose,6/7/11,Juba,230,250,Possible,1,Air operation - drone or airstrike,1,1,0,0,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM011,
Banaadir,5/9/16,Tortoroow,295,204,Confirmed,1,Air operation - drone or airstrike,2,2,4,4,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM042,
Bari,1/6/07,Bargal,370,65,Confirmed,0,Naval operation - USS Chafee shore bombardment,1,1,8,12,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM005,
Bay,31/01/2015,"Dinsoor, Bay Region",260,195,Confirmed,1,Air operation - drone strike,1,1,2,9,0,4,0,0,0,4,http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM023,
Galguduud,1/5/08,Dusa Marreb,320,155,Confirmed,0,"Naval operation - cruise missilesPossible air assault - AC-130 Gunship",1,1,8,15,5,10,0,0,0,0,http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM007,
Gedo,12/3/15,"Abaq Xaluul village, Baardheere, Gedo region",230,190,Confirmed,1,Air operation - drone strike,1,1,3,3,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM024,
Gedo,15/07/2015,"Baardheere, Gedo Region",230,190,Confirmed,1,Air operation - drone strike,1,1,2,3,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM025,
Gedo,15/07/2015,"Baardheere, Gedo Region",230,190,Confirmed,1,Air operation - drone strike,5,5,0,0,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM026,
Hiiraan,29/11/2015,"Yasooman, Ceeldheer and Ceel Lahelay villages, Hiraan region",295,170,Possible,0,Air operation - airstrike,1,1,0,0,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM028,
Hiiraan,5/3/16,"Raso Camp, Hiraaan",295,170,Confirmed,1,Air operation - drone or airstrike,1,1,150,200,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM031,
Jubbada Dhexe,29/12/2014,Saakow,246,220,Confirmed,1,Air operation - drone strike,1,1,2,3,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM021,
Jubbada Dhexe,31/03/2016,"Jillib, Middle Juba",246,220,Confirmed,1,Air operation - drone strike,1,1,3,3,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM033,
Jubbada Dhexe,6/4/16,"Jillib, Middle Juba",246,220,Confirmed,1,Air operation - drone strike,1,1,8,8,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM036,
