Region,Date,Location,Province,Type of attack,"Confirmed/possible US attack?",Drone strike,Minimum number of strikes,Maximum number of strikes,MinTotal,MaxTotal,MinCivilians,MaxCivilians,MinChildren,MaxChildren,MinInj,MaxInj,Strike link,
Ma'rib,3/11/02,Unknown,Marib,Drone strike,Confirmed,1,1,1,6,6,0,0,0,0,0,0,www.thebureauinvestigates.com/2012/03/29/yemen-reported-us-covert-actions-since-2001/#YEM001,www.thebureauinvestigates.com/2012/03/29/yemen-reported-us-covert-actions-since-2001/#
Abyan,17/12/2009,Al Majala,Abyan,Cruise missile strike,Confirmed,0,1,1,55,58,44,44,21,22,9,9,www.thebureauinvestigates.com/2012/03/29/yemen-reported-us-covert-actions-since-2001/#YEM002,
Sana'a,17/12/2009,Arhab,Sanaa,"US-Yemen ground operationPossible drone strike",Confirmed,0,1,1,0,0,0,0,0,0,0,0,www.thebureauinvestigates.com/2012/03/29/yemen-reported-us-covert-actions-since-2001/#YEM003,
Shabwah,24/12/2009,Rafd,Shabwa,"AirstrikePossible cruise missile strike",Confirmed,0,1,1,30,34,0,0,0,0,0,0,www.thebureauinvestigates.com/2012/03/29/yemen-reported-us-covert-actions-since-2001/#YEM004,
Shabwah,12/1/10,Unknown,Shabwa,"Yemen ground operationPossible US assistance",Possible,0,1,1,1,2,0,0,0,0,0,0,www.thebureauinvestigates.com/2012/03/29/yemen-reported-us-covert-actions-since-2001/#YEM005,
Sa`dah,15/01/2010,Al Ajashir,Saada,Airstrike,Possible,0,1,1,0,6,0,0,0,0,0,0,www.thebureauinvestigates.com/2012/03/29/yemen-reported-us-covert-actions-since-2001/#YEM006,
Ma'rib,20/01/2010,Erq al Shawan,Marib,Airstrike,Possible,0,4,4,2,2,0,0,0,0,0,0,www.thebureauinvestigates.com/2012/03/29/yemen-reported-us-covert-actions-since-2001/#YEM007,
??,31/01/2010,N/A,Across Yemen,US ground operations,Possible,0,24,24,0,0,0,0,0,0,0,0,www.thebureauinvestigates.com/2012/03/29/yemen-reported-us-covert-actions-since-2001/#YEM008,
Abyan,14/03/2010,"Jeezat al QotnMoudia district",Abyan,Airstrike,Confirmed,0,1,1,2,3,0,0,0,0,0,0,www.thebureauinvestigates.com/2012/03/29/yemen-reported-us-covert-actions-since-2001/#YEM009,
Abyan,15/03/2010,Moudia,Abyan,Airstrike,Possible,0,1,1,7,20,0,20,0,0,0,0,www.thebureauinvestigates.com/2012/03/29/yemen-reported-us-covert-actions-since-2001/#YEM010,
Ma'rib,24/05/2010,Unknown,Marib,Airstrike,Confirmed,0,1,1,3,4,3,4,0,0,2,3,www.thebureauinvestigates.com/2012/03/29/yemen-reported-us-covert-actions-since-2001/#YEM011,
Shabwah,5/5/11,Unknown,Shabwa,"Drone strikeAirstrike with US conventional aircraft",Confirmed,1,1,1,2,2,0,0,0,0,0,0,www.thebureauinvestigates.com/2012/03/29/yemen-reported-us-covert-actions-since-2001/#YEM012,
Abyan,3/6/11,Zinjibar,Abyan,Drone strike,Confirmed,1,1,1,7,7,4,4,0,0,0,0,www.thebureauinvestigates.com/2012/03/29/yemen-reported-us-covert-actions-since-2001/#YEM013,
Abyan,10/6/11,Zinjibar,Abyan,"AirstrikePossible drone strike",Possible,1,1,1,1,1,0,0,0,0,0,0,www.thebureauinvestigates.com/2012/03/29/yemen-reported-us-covert-actions-since-2001/#YEM014,
Abyan,10/6/11,Raia,Abyan,"AirstrikePossible drone strike",Possible,1,1,3,2,3,2,3,1,1,0,1,www.thebureauinvestigates.com/2012/03/29/yemen-reported-us-covert-actions-since-2001/#YEM015,
Abyan,18/06/2011,Jaar,Abyan,"AirstrikePossible drone strike",Possible,1,1,1,0,0,0,0,0,0,6,6,www.thebureauinvestigates.com/2012/03/29/yemen-reported-us-covert-actions-since-2001/#YEM016,
Abyan,14/07/2011,"Wadeea districtMudiya",Abyan,Drone strike,Confirmed,1,1,1,6,50,30,30,0,0,0,0,www.thebureauinvestigates.com/2012/03/29/yemen-reported-us-covert-actions-since-2001/#YEM017,
Abyan,14/07/2011,Unknown,Abyan,Drone strike,Possible,1,1,1,0,0,0,0,0,0,0,0,www.thebureauinvestigates.com/2012/03/29/yemen-reported-us-covert-actions-since-2001/#YEM018,
Abyan,27/07/2011,"KaradeefZinjibar",Abyan,"AirstrikePossible drone strike",Possible,1,1,1,5,5,0,0,0,0,0,0,www.thebureauinvestigates.com/2012/03/29/yemen-reported-us-covert-actions-since-2001/#YEM019,
Abyan,1/8/11,Al Khamila,Abyan,"Drone strikePossible Yemen Air Force airstrike",Confirmed,1,2,4,13,16,0,0,0,0,12,17,www.thebureauinvestigates.com/2012/03/29/yemen-reported-us-covert-actions-since-2001/#YEM020,
Abyan,24/08/2011,Zinjibar,Abyan,Airstrike,Possible,0,1,1,30,30,0,0,0,0,40,40,www.thebureauinvestigates.com/2012/03/29/yemen-reported-us-covert-actions-since-2001/#YEM021,
